10001	29046	1
10001	27196	1
10001	26158	1
25001	21212	1
25001	27981	1
25001	19114	1
25001	22077	1
25001	19200	1
25001	11211	1
25001	22748	1
25001	8244	1
25001	22776	1
25001	12591	1
25001	19889	1
25001	16166	1
25001	23650	1
25001	28730	1
25001	15307	1
25001	19008	1
25001	16374	1
25001	19778	1
25001	27393	1
25001	27352	1
25001	25341	1
25001	20295	1
25001	18237	1
25001	26189	1
25001	25802	1
25001	24863	1
25001	4688	1
25001	24273	1
25001	15254	1
25001	4945	1
25001	7596	1
25001	1664	1
25001	29332	1
25001	9207	1
25001	28816	1
25001	6637	1
25001	29818	1
25001	1935	1
25002	5862	1
25002	19477	1
25002	24169	1
25002	16380	1
25002	15478	1
25002	22506	1
25002	5412	1
25002	15373	1
25002	29915	1
25002	19370	1
25002	7074	1
10002	28073	1
20001	27478	1
20001	28926	1
20001	29773	1
10003	28352	1
15002	29491	1
15002	29050	1
15002	29488	1
10004	25230	1
10004	27372	1
15004	28177	1
15004	26492	1
20002	27622	1
5002	27579	1
5002	26103	1
5002	28969	1
10005	27379	1
10005	27063	1
20003	28888	1
20003	26455	1
20003	28256	1
25003	7395	1
25003	21895	1
25003	21585	1
25003	27696	1
25003	13566	1
25003	13028	1
1	25617	1
15005	29711	1
15005	27362	1
15005	25392	1
15005	29977	1
15005	29071	1
15005	25531	1
15005	28168	1
15005	29495	1
15006	26403	1
15006	27566	1
25004	17722	1
25004	9726	1
25004	7810	1
25004	27699	1
25004	11129	1
25004	27627	1
25004	10094	1
25004	14231	1
25004	26986	1
25004	11259	1
25004	4373	1
25004	14780	1
25004	11432	1
25004	28177	1
25004	10042	1
25004	20336	1
25004	11846	1
25004	12116	1
25004	17896	1
25004	10284	1
25004	25311	1
25004	16060	1
25004	17427	1
25004	28386	1
25004	17632	1
25004	9942	1
25004	6536	1
25004	14488	1
25004	16391	1
25004	2065	1
25004	26086	1
25004	21317	1
25004	2501	1
25004	17788	1
5003	29262	1
5003	28925	1
5003	26085	1
5003	28909	1
5004	26404	1
10006	29086	1
10006	27586	1
10009	27040	1
10009	25243	1
10009	29059	1
20004	29961	1
2	26826	1
2	26955	1
15007	29786	1
15007	27900	1
10010	28817	1
15008	28766	1
15009	29232	1
15009	25969	1
25005	15234	1
25005	25479	1
25005	26989	1
25005	19184	1
25005	5993	1
25005	8970	1
25006	26188	1
25006	8637	1
25006	18375	1
25006	8176	1
25006	25608	1
25006	19867	1
25007	25542	1
25007	3014	1
25007	30000	1
25007	15411	1
25007	4293	1
25007	7614	1
25007	7228	1
25007	18834	1
25007	5297	1
25008	15010	1
25008	28546	1
25008	13673	1
25008	16151	1
25008	27409	1
25008	6503	1
25008	3245	1
25008	20685	1
25008	29325	1
25008	12368	1
25008	5390	1
10011	28653	1
10011	28088	1
10011	28552	1
10011	27003	1
4	27926	1
10012	26779	1
10012	27946	1
10012	29268	1
5	26746	1
5	27398	1
5	29729	1
5	26749	1
15011	25406	1
15011	25294	1
6	29154	1
25009	23378	1
25009	18571	1
25009	2170	1
25009	12329	1
25009	18894	1
25009	4562	1
25009	5773	1
25009	21723	1
25009	11507	1
25009	12881	1
25009	24405	1
20006	28713	1
10013	25967	1
10013	27419	1
10013	28194	1
10013	25857	1
10013	25002	1
10013	28171	1
10013	26536	1
10013	27918	1
15013	29564	1
15013	25099	1
5005	29214	1
5005	26116	1
5005	29297	1
5005	25991	1
5005	25063	1
5005	26724	1
25010	23916	1
25010	8886	1
25010	10079	1
25010	207	1
25010	279	1
25010	10210	1
25010	6546	1
25010	21124	1
25010	23366	1
25010	20704	1
25010	7765	1
25010	25340	1
25010	6264	1
10014	28793	1
10014	26740	1
10015	27636	1
20007	25849	1
5006	28012	1
5006	26518	1
5006	26869	1
5006	27547	1
25011	15339	1
25011	16201	1
25011	18797	1
25011	251	1
25011	21600	1
25011	20937	1
25011	13738	1
25011	24549	1
25011	11294	1
25012	21508	1
25012	22963	1
25012	3730	1
25012	27572	1
25012	3308	1
25012	19272	1
25012	18266	1
25012	21910	1
25012	10610	1
20008	28385	1
20008	28430	1
20008	27322	1
20008	27672	1
20008	29234	1
20009	29239	1
20009	25308	1
20009	27351	1
15015	26234	1
15015	29356	1
15015	29761	1
15015	25960	1
15015	26657	1
5007	26448	1
20010	26194	1
20010	27468	1
20010	26736	1
20010	26811	1
20010	27111	1
20010	28259	1
10017	28674	1
10017	25740	1
10017	28031	1
10018	29709	1
11	28730	1
11	29764	1
