0	9
1	6
2	9
3	41
4	5
5	8
6	18
7	18
8	43
9	8
10	42
11	34
12	21
13	35
14	40
15	12
16	14
17	6
18	34
19	41
20	24
21	7
22	12
23	31
24	25
25	35
26	37
27	22
28	5
29	18
30	7
31	21
32	21
33	6
34	1
35	42
36	18
37	38
38	39
39	6
40	12
41	40
42	21
43	34
44	8
45	25
46	43
47	37
48	30
49	1
50	34
51	29
52	3
53	7
54	43
55	1
56	40
57	2
58	7
59	42
60	12
61	15
62	2
63	7
64	14
65	14
66	34
67	17
68	39
69	10
70	29
71	25
72	2
73	1
74	27
75	27
76	0
77	18
78	5
79	41
80	1
81	5
82	41
83	34
84	25
85	15
86	40
87	32
88	3
89	26
90	12
91	16
92	13
93	1
94	8
95	23
96	35
97	12
98	30
99	14
100	12
101	5
102	32
103	33
104	37
105	28
106	19
107	15
108	29
109	41
110	14
111	37
112	4
113	0
114	41
115	14
116	35
117	26
118	15
119	29
120	9
121	22
122	5
123	4
124	19
125	15
126	5
127	2
128	20
129	21
130	5
131	15
132	41
133	5
134	9
135	41
136	5
137	29
138	28
139	20
140	35
141	20
142	5
143	10
144	21
145	15
146	26
147	1
148	26
149	15
150	2
151	24
152	20
153	41
154	27
155	40
156	12
157	39
158	15
159	2
160	13
161	17
162	40
163	16
164	7
165	6
166	40
167	37
168	23
169	28
170	18
171	28
172	4
173	15
174	29
175	43
176	14
177	31
178	4
179	27
180	19
181	37
182	8
183	11
184	33
185	19
186	9
187	28
188	1
189	13
190	5
191	37
192	41
193	15
194	8
195	1
196	28
197	31
198	28
199	40
200	3
201	26
202	8
203	34
204	5
205	7
206	43
207	37
208	36
209	43
210	26
211	21
212	20
213	18
214	15
215	32
216	27
217	16
218	42
219	13
220	5
221	26
222	24
223	33
224	5
225	3
226	20
227	6
228	42
229	15
230	21
231	30
232	25
233	34
234	15
235	32
236	18
237	40
238	42
239	34
240	16
241	5
242	30
243	34
244	40
245	6
246	4
247	23
248	31
249	4
250	26
251	9
252	4
253	41
254	20
255	43
256	41
257	20
258	39
259	14
260	17
261	38
262	34
263	7
264	15
265	9
266	13
267	41
268	36
269	37
270	26
271	38
272	30
273	14
274	10
275	33
276	35
277	11
